PERSONID,FM37,ED6
1,NA,0
2,6,0
3,7,9
4,NA,5
5,NA,9
6,NA,8
7,NA,1
8,NA,0
9,NA,0
1,NA,12
2,NA,15
3,NA,8
4,NA,12
5,NA,8
6,NA,5
7,NA,16
8,NA,12
9,NA,6
10,NA,2
11,NA,2
12,NA,16
13,NA,7
14,NA,0
15,NA,0
16,NA,0
1,NA,10
2,60,0
3,NA,11
4,NA,12
5,NA,9
6,NA,6
7,NA,4
1,90,0
2,90,0
3,NA,5
4,NA,7
5,NA,6
1,NA,8
2,NA,0
3,NA,0
4,NA,0
5,NA,0
6,NA,9
7,NA,8
8,NA,12
9,NA,9
10,NA,4
1,30,0
2,30,0
3,30,0
4,NA,0
5,NA,0
6,30,0
7,30,0
8,NA,1
9,NA,0
10,30,0
11,NA,9
1,90,0
2,60,0
3,30,0
4,90,8
5,NA,0
6,NA,0
7,NA,9
8,NA,9
1,20,0
2,15,0
3,10,0
4,NA,7
5,NA,7
6,NA,0
7,NA,0
8,NA,0
1,60,0
2,30,9
3,NA,9
4,NA,3
5,NA,7
6,15,6
7,10,7
8,10,6
1,NA,0
2,NA,0
3,NA,0
4,NA,0
1,NA,10
2,NA,10
3,NA,0
4,NA,0
5,NA,11
6,NA,10
7,NA,10
8,NA,9
9,NA,0
10,NA,11
11,NA,13
12,NA,9
13,NA,5
1,60,8
2,60,0
3,NA,6
4,NA,0
5,NA,0
1,NA,15
2,NA,15
3,NA,5
4,NA,1
1,NA,9
2,50,0
3,NA,9
4,NA,11
5,30,9
6,NA,9
7,NA,6
1,NA,8
2,NA,0
3,NA,9
4,NA,9
5,NA,7
6,NA,4
7,NA,0
1,60,0
2,60,0
3,60,10
4,60,8
5,NA,11
6,NA,9
7,NA,6
8,NA,0
9,NA,15
10,NA,11
1,NA,10
2,40,0
3,40,15
4,NA,11
5,40,10
6,NA,10
1,NA,16
2,NA,14
3,NA,0
4,NA,15
5,NA,0
6,NA,9
7,NA,6
8,NA,2
9,NA,16
10,NA,12
11,NA,0
12,NA,10
1,60,8
2,60,0
3,NA,9
4,NA,8
5,NA,8
6,NA,4
1,60,0
2,NA,0
3,NA,0
4,30,0
5,60,0
6,NA,7
