country,corrup,pol_part,lit_rate,pct_urban
Afghanistan,85,3.5,43.019718170166016,25.25
Albania,62,7.5,98.14115142822266,59.382999420166016
Algeria,67,4.5,81.4078369140625,72.052001953125
Angola,81,3,66.03011322021484,64.83899688720703
Azerbaijan,69,2.25,99.791229248046875,55.34299850463867
Argentina,61,9,99.00386810302734,91.7490005493164
Bahrain,64,1.5,97.40389251708984,89.18599700927734
Bangladesh,72,4.25,72.8929672241211,35.858001708984375
Armenia,65,4.25,99.73606872558594,63.10300064086914
Bhutan,33,7,66.56114959716797,40.16699981689453
Bolivia,67,8.25,92.455078125,69.08000183105469
Brazil,63,8.75,93.07582092285156,86.30899810791016
Myanmar,70,5,75.55120086669922,30.32200050354004
Burundi,78,3,68.37532806396484,12.706000328063965
Belarus,56,3,99.756561279296875,78.134002685546875
Cambodia,79,2.75,80.5264892578125,22.979999542236328
Cameroon,75,3.25,77.07103729248047,55.777000427246094
Central African Republic,77,5.25,37.39582061767578,40.97999954223633
Sri Lanka,62,7.25,91.895751953125,18.38400077819824
Chad,80,3,22.31155014038086,22.857999801635746
Chile,33,9.5,96.40228271484376,87.48999786376953
China,59,1.75,96.84088897705078,57.959999084472656
Colombia,63,7,95.0925064086914,80.44599914550781
Congo,79,2.5,80.29875946044922,66.45899963378906
"Congo, Democratic Republic",79,2.75,77.04267883300781,43.880001068115234
Costa Rica,41,10,97.8637924194336,78.55999755859375
Czech Republic,43,10,99.8330307006836,73.67500305175781
Benin,61,8.75,42.36240005493164,46.76800155639648
Dominican Republic,71,8,93.77845764160156,80.2770004272461
Ecuador,68,6.5,92.8297882080078,63.66999816894531
El Salvador,67,8.5,88.48271179199219,71.2750015258789
Ethiopia (1993-),65,2,51.77117919921875,20.309999465942383
Gabon,68,3.75,84.66716003417969,88.97599792480469
Georgia,44,8.5,99.3642578125,58.23099899291992
Gambia,70,7,50.77796936035156,60.5989990234375
Ghana,60,8.5,79.039642333984375,55.40700149536133
Guatemala,72,5.25,81.28589630126953,50.68000030517578
Guinea,73,6.25,32.003841400146484,35.792999267578125
Haiti,78,6,61.691349029541016,54.34600067138672
Honduras,71,5.75,87.20523834228516,56.457000732421875
Hungary,55,7.5,99.0999984741211,71.06199645996094
India,60,8,74.37299346923828,33.599998474121094
Indonesia,63,7,95.65856170654295,54.65900039672851
Iran,70,2.75,85.54425048828125,74.39399719238281
Iraq,82,4.75,85.5999984741211,70.27799987792969
Cote d'Ivoire,64,7,47.16535186767578,50.32600021362305
Jamaica,56,9.5,88.0999984741211,55.37799835205078
Kazakhstan,69,2.5,99.78163146972656,57.33599853515625
Jordan,52,4,98.22711181640624,90.74700164794922
Kenya,72,6.5,81.53497314453125,26.562000274658203
Kuwait,61,3.75,96.03594970703124,100
Kyrgyzstan,71,6.5,99.58599853515624,36.1349983215332
Laos,71,1,84.661041259765625,34.36800003051758
Lebanon,72,5.75,95.06944274902344,88.42900085449219
Lesotho,58,5.75,76.63520050048828,27.729999542236328
Latvia,42,9,99.889312744140625,68.07499694824219
Liberia,69,7.5,48.301361083984375,50.696998596191406
Madagascar,76,5.5,74.8043212890625,36.52199935913086
Malawi,69,7.25,62.14353942871094,16.714000701904297
Malaysia (1966-),53,3.75,95.08264923095705,75.4469985961914
Mali,69,7.25,35.47377014160156,41.571998596191406
Mauritania,72,4.25,53.497589111328125,52.82400131225586
Mauritius,50,8.75,91.3253936767578,40.84099960327149
Mexico,71,6.25,94.9727783203125,79.86699676513672
Mongolia,64,7.75,98.4231185913086,68.36299896240234
Moldova,69,6.25,99.359893798828125,42.55699920654297
Montenegro,54,7.5,98.84718322753906,66.47699737548828
Morocco,60,3,73.75000762939453,61.90800094604492
Mozambique,75,4.75,60.65542984008789,35.45500183105469
Oman,56,1.5,95.57599639892578,83.55999755859375
Namibia,49,8.5,91.52726745605467,49.005001068115234
Nepal,69,6.25,67.90843200683594,19.336000442504883
Nicaragua,74,5,82.61454772949219,58.29899978637695
Niger,67,7,35.04999923706055,16.350000381469727
Nigeria,73,6.5,62.01601028442383,49.51900100708008
Pakistan (1971-),68,4,59.132049560546875,36.44200134277344
Panama,63,7.75,95.41181182861328,67.36499786376953
Paraguay,71,7.5,94.0207977294922,61.29999923706055
Peru,63,7.75,94.1496124267578,77.720001220703125
Philippines,66,6.75,98.18254852294922,46.68199920654297
Guinea-Bissau,83,6.75,45.58116149902344,42.94499969482422
Timor-Leste,62,8.5,68.06683349609375,30.211999893188477
Qatar,37,2.25,93.4639663696289,99.0780029296875
Romania,52,8.5,98.84449768066406,53.93600082397461
Russia,71,3.5,99.73005676269533,74.29199981689453
Rwanda,45,2.5,73.21559143066406,17.125
Saudi Arabia,51,1.5,95.32862854003906,83.62200164794922
Senegal,55,8,51.900421142578125,46.7400016784668
Serbia,59,8.25,98.8415069580078,55.94200134277344
Sierra Leone,70,6.75,43.206329345703125,41.63600158691406
Singapore,16,3.5,97.20221710205078,100
Vietnam,65,1.75,95.00038146972656,35.2130012512207
Slovenia,39,9.5,99.6999969482422,54.27299880981445
South Africa,57,7.5,87.04666900634766,65.8499984741211
Zimbabwe,78,3.25,88.69342041015625,32.23699951171875
South Sudan,88,2,34.52275848388672,19.34600067138672
Sudan (2012-),84,2.5,60.69718170166016,34.369998931884766
Eswatini (former Swaziland),61,1.75,88.41938018798828,23.625
Tajikistan,79,1.75,99.8000030517578,26.98200035095215
Thailand,63,1.5,93.76776123046876,49.20000076293945
Togo,68,4.75,63.74562072753906,41.1619987487793
United Arab Emirates,29,2,93.227142333984375,86.24800109863281
Tunisia,58,7.5,79.03643035888672,68.641998291015625
Turkey,60,6,96.15052795410156,74.64399719238281
Turkmenistan,81,1,99.6999969482422,51.15299987792969
Uganda,74,4.5,76.527496337890625,23.195999145507813
North Macedonia,65,6.25,97.8000030517578,57.74800109863281
Egypt,68,2.75,71.16825103759766,42.70500183105469
Tanzania,64,6.5,77.8872299194336,33.053001403808594
Burkina Faso,58,7,41.22444915771485,28.743000030517575
Uruguay,30,10,98.61572265625,95.23999786376952
Uzbekistan,78,2.25,99.992889404296875,50.54999923706055
Venezuela,82,3.75,97.12709045410156,88.18299865722656
Zambia,63,6,86.74796295166016,42.97600173950195
